,ticker,xly,xlp,xle,xlf,xlv,xli,xlb,xlre,xlk,xlu
427,HSY,False,True,False,False,False,False,False,False,False,False
428,HTA,True,False,False,False,False,False,False,False,False,False
429,HUBB,False,True,False,False,False,False,False,False,False,False
430,HUM,False,False,False,False,True,False,False,False,False,False
431,HUN,False,False,False,False,False,True,False,False,False,False
432,HXL,False,False,False,False,False,True,False,False,False,False
433,IAC,True,False,False,False,False,False,False,False,False,False
434,IBKR,False,False,False,True,False,False,False,False,False,False
435,IBM,False,False,False,False,False,False,False,False,True,False
436,ICE,False,False,False,True,False,False,False,False,False,False
437,ICPT,False,False,False,False,True,False,False,False,False,False
438,IDXX,False,False,False,False,True,False,False,False,False,False
439,IEX,False,True,False,False,False,False,False,False,False,False
440,IFF,False,False,False,False,False,False,True,False,False,False
441,IGT,True,False,False,False,False,False,False,False,False,False
442,ILMN,False,False,False,False,True,False,False,False,False,False
443,INCY,False,False,False,False,True,False,False,False,False,False
444,INFO,False,False,False,False,False,False,False,False,True,False
445,INGR,False,True,False,False,False,False,False,False,False,False
446,INT,False,False,True,False,False,False,False,False,False,False
447,INTC,False,False,False,False,False,False,False,False,True,False
448,INTU,False,False,False,False,False,False,False,False,True,False
449,INVH,False,False,False,True,False,False,False,False,False,False
450,IONS,False,False,False,False,True,False,False,False,False,False
451,IP,False,False,False,False,False,False,True,False,False,False
452,IPG,False,False,False,False,False,False,False,False,True,False
453,IPGP,False,False,False,False,False,False,False,False,True,False
454,IR,False,False,False,False,False,True,False,False,False,False
455,IRM,False,False,False,False,False,False,False,True,False,False
456,ISRG,False,False,False,False,True,False,False,False,False,False
457,IT,False,False,False,False,False,False,False,False,True,False
458,ITT,False,True,False,False,False,False,False,False,False,False
459,ITW,False,False,False,False,False,False,False,False,True,False
460,IVZ,False,False,False,True,False,False,False,False,False,False
461,JBGS,True,False,False,False,False,False,False,False,False,False
462,JBHT,False,False,False,False,False,True,False,False,False,False
463,JBL,False,False,False,False,False,False,False,False,True,False
